Zeit von [CET/CEST];Zeit bis [CET/CEST];Preis Erstveröffentlichung [EUR/MWh];Preis 15 min [EUR/MWh];Preis final [EUR/MWh],,,
03.01.2023 06:15:00;03.01.2023 06:30:00;181,86;180,05;182,80
03.01.2023 06:30:00;03.01.2023 06:45:00;186,95;187,11;203,14
03.01.2023 06:45:00;03.01.2023 07:00:00;197,72;197,37;203,14
03.01.2023 07:00:00;03.01.2023 07:15:00;178,13;177,25;180,84
03.01.2023 07:15:00;03.01.2023 07:30:00;199,63;199,23;197,46
03.01.2023 07:30:00;03.01.2023 07:45:00;198,06;198,06;190,19
03.01.2023 07:45:00;03.01.2023 08:00:00;122,54;122,54;207,66
03.01.2023 08:00:00;03.01.2023 08:15:00;204,94;201,84;202,13
03.01.2023 08:15:00;03.01.2023 08:30:00;207,24;207,01;204,23
03.01.2023 08:30:00;03.01.2023 08:45:00;209,44;209,95;215,17
03.01.2023 08:45:00;03.01.2023 09:00:00;198,14;198,34;199,85
03.01.2023 09:00:00;03.01.2023 09:15:00;31,00;31,00;39,65
03.01.2023 09:15:00;03.01.2023 09:30:00;59,93;59,93;60,24
03.01.2023 09:30:00;03.01.2023 09:45:00;173,78;173,75;174,4
03.01.2023 09:45:00;03.01.2023 10:00:00;183,38;180,53;179,51
03.01.2023 10:00:00;03.01.2023 10:15:00;199,26;200,89;201,65
03.01.2023 10:15:00;03.01.2023 10:30:00;186,93;186,91;184,90
03.01.2023 10:30:00;03.01.2023 10:45:00;182,79;181,38;183,35
03.01.2023 10:45:00;03.01.2023 11:00:00;220,28;220,28;201,9
03.01.2023 11:00:00;03.01.2023 11:15:00;191,84;192,39;190,74
03.01.2023 11:15:00;03.01.2023 11:30:00;185,49;185,39;190,69
03.01.2023 11:30:00;03.01.2023 11:45:00;189,85;188,76;191,97
03.01.2023 11:45:00;03.01.2023 12:00:00;187,87;186,59;194,84
03.01.2023 12:00:00;03.01.2023 12:15:00;190,29;190,51;191,51
03.01.2023 12:15:00;03.01.2023 12:30:00;188,14;188,04;191,37
03.01.2023 12:30:00;03.01.2023 12:45:00;202,09;202,09;196,52
03.01.2023 12:45:00;03.01.2023 13:00:00;243,93;243,93;244,36
03.01.2023 13:00:00;03.01.2023 13:15:00;190,12;190,84;192,69
03.01.2023 13:15:00;03.01.2023 13:30:00;180,53;181,27;185,53
03.01.2023 13:30:00;03.01.2023 13:45:00;60,99;60,99;62,61
03.01.2023 13:45:00;03.01.2023 14:00:00;47,10;47,10;48,20
03.01.2023 14:00:00;03.01.2023 14:15:00;189,24;185,19;182,10
03.01.2023 14:15:00;03.01.2023 14:30:00;199,14;198,91;199,50
03.01.2023 14:30:00;03.01.2023 14:45:00;63,03;63,03;186,6
03.01.2023 14:45:00;03.01.2023 15:00:00;191,70;192,82;196,21
03.01.2023 15:00:00;03.01.2023 15:15:00;221,66;221,66;214,54
03.01.2023 15:15:00;03.01.2023 15:30:00;201,47;201,48;201,97
03.01.2023 15:30:00;03.01.2023 15:45:00;269,96;269,96;255,67
